broker_name,channel_type,performance_tier,business_segment,risk_level,sales_units,cancel_units,net_units,total_transactions,net_value,sales_value,cancel_value,cancel_rate_pct,sales_rate_pct,conversion_rate,avg_ticket_size,avg_sales_ticket,avg_cancel_ticket,revenue_per_transaction,share_of_total_value_pct,share_of_total_units_pct,share_of_sales_value_pct,revenue_rank,volume_rank,efficiency_rank,revenue_score,volume_score,quality_score,overall_performance_score,efficiency_vs_market,growth_potential
Broker 640,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,288417701.2,288417701.2,0.0,0.0,100.0,100.0,288417701.2,288417701.2,0.0,288417701.2,0.06,0.04,0.06,315,31,53,0.1,0.1,30.0,30.2,55.8,High
Broker 517,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,288401535.9,288401535.9,0.0,0.0,100.0,100.0,144200767.95,144200767.95,0.0,144200767.95,0.06,0.08,0.06,316,30,319,0.1,0.2,30.0,30.3,-22.1,Medium
Broker 95,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,288377449.4,288377449.4,0.0,0.0,100.0,100.0,288377449.4,288377449.4,0.0,288377449.4,0.06,0.04,0.06,317,31,54,0.1,0.1,30.0,30.2,55.8,High
Broker 600,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,288186713.9,288186713.9,0.0,0.0,100.0,100.0,288186713.9,288186713.9,0.0,288186713.9,0.06,0.04,0.06,318,31,55,0.1,0.1,30.0,30.2,55.7,High
Broker 81,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,287732155.57,287732155.57,0.0,0.0,100.0,100.0,47955359.26,47955359.26,0.0,47955359.26,0.06,0.23,0.06,319,26,541,0.1,0.5,30.0,30.6,-74.1,Medium
Broker 14,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,286252154.52,192959543.19,-93292611.33,33.33,75.0,75.0,143126077.26,64319847.73,-93292611.33,71563038.63,0.06,0.08,0.04,320,30,323,0.1,0.2,27.5,27.8,-22.7,Very Low
Broker 610,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,285358019.7,285358019.7,0.0,0.0,100.0,100.0,285358019.7,285358019.7,0.0,285358019.7,0.06,0.04,0.06,321,31,60,0.1,0.1,30.0,30.2,54.2,High
Broker 433,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,283143240.6,283143240.6,0.0,0.0,100.0,100.0,141571620.3,141571620.3,0.0,141571620.3,0.06,0.08,0.06,322,30,324,0.1,0.2,30.0,30.3,-23.5,Medium
Broker 609,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,282686260.3,282686260.3,0.0,0.0,100.0,100.0,282686260.3,282686260.3,0.0,282686260.3,0.06,0.04,0.06,323,31,64,0.1,0.1,30.0,30.2,52.7,High
Broker 486,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,282105117.5,282105117.5,0.0,0.0,100.0,100.0,282105117.5,282105117.5,0.0,282105117.5,0.06,0.04,0.06,324,31,66,0.1,0.1,30.0,30.2,52.4,High
Broker 206,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,279185785.76,279185785.76,0.0,0.0,100.0,100.0,55837157.15,55837157.15,0.0,55837157.15,0.06,0.19,0.06,325,27,516,0.1,0.4,30.0,30.5,-69.8,Medium
Broker 677,Broker,Basic,Emerging Partner,Excellent,0,1,-1,1,277628617.1,0.0,-277628617.1,0.0,0.0,0.0,0.0,0.0,-277628617.1,277628617.1,0.06,-0.04,0.0,326,33,619,0.1,-0.1,30.0,30.0,-100.0,Medium
Broker 638,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,275562310.5,275562310.5,0.0,0.0,100.0,100.0,275562310.5,275562310.5,0.0,275562310.5,0.06,0.04,0.06,327,31,69,0.1,0.1,30.0,30.2,48.9,High
Broker 582,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,275138638.8,275138638.8,0.0,0.0,100.0,100.0,275138638.8,275138638.8,0.0,275138638.8,0.06,0.04,0.06,328,31,70,0.1,0.1,30.0,30.2,48.7,High
Broker 124,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,273022532.65999997,273022532.65999997,0.0,0.0,100.0,100.0,68255633.16,68255633.16,0.0,68255633.16,0.06,0.15,0.06,329,28,474,0.1,0.3,30.0,30.4,-63.1,Medium
Broker 473,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,272774275.29999995,272774275.29999995,0.0,0.0,100.0,100.0,90924758.43,90924758.43,0.0,90924758.43,0.06,0.11,0.06,330,29,424,0.1,0.2,30.0,30.3,-50.9,Medium
Broker 154,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,272643352.1,272643352.1,0.0,0.0,100.0,100.0,136321676.05,136321676.05,0.0,136321676.05,0.06,0.08,0.06,331,30,331,0.1,0.2,30.0,30.3,-26.3,Medium
Broker 508,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,272488989.0,272488989.0,0.0,0.0,100.0,100.0,272488989.0,272488989.0,0.0,272488989.0,0.06,0.04,0.06,332,31,71,0.1,0.1,30.0,30.2,47.2,High
Broker 428,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,271408602.20000005,271408602.20000005,0.0,0.0,100.0,100.0,135704301.1,135704301.1,0.0,135704301.1,0.06,0.08,0.06,333,30,335,0.1,0.2,30.0,30.3,-26.7,Medium
Broker 385,Broker,Basic,Emerging Partner,Excellent,0,3,-3,3,270725354.75,0.0,-270725354.75,0.0,0.0,0.0,0.0,0.0,-90241784.92,90241784.92,0.06,-0.11,0.0,334,35,619,0.1,-0.2,30.0,29.9,-100.0,Medium
Broker 495,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,269669037.3,269669037.3,0.0,0.0,100.0,100.0,269669037.3,269669037.3,0.0,269669037.3,0.06,0.04,0.06,335,31,75,0.1,0.1,30.0,30.2,45.7,High
Broker 579,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,269380244.7,269380244.7,0.0,0.0,100.0,100.0,269380244.7,269380244.7,0.0,269380244.7,0.06,0.04,0.06,336,31,76,0.1,0.1,30.0,30.2,45.5,High
Broker 591,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,267450741.2,267450741.2,0.0,0.0,100.0,100.0,267450741.2,267450741.2,0.0,267450741.2,0.05,0.04,0.06,337,31,78,0.1,0.1,30.0,30.2,44.5,High
Broker 578,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,265451858.2,265451858.2,0.0,0.0,100.0,100.0,265451858.2,265451858.2,0.0,265451858.2,0.05,0.04,0.06,338,31,79,0.1,0.1,30.0,30.2,43.4,High
Broker 145,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,264210529.26,264210529.26,0.0,0.0,100.0,100.0,132105264.63,132105264.63,0.0,132105264.63,0.05,0.08,0.06,339,30,346,0.1,0.2,30.0,30.3,-28.6,Medium
Broker 510,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,263465932.4,263465932.4,0.0,0.0,100.0,100.0,263465932.4,263465932.4,0.0,263465932.4,0.05,0.04,0.06,340,31,80,0.1,0.1,30.0,30.2,42.3,High
Broker 597,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,262791923.4,262791923.4,0.0,0.0,100.0,100.0,262791923.4,262791923.4,0.0,262791923.4,0.05,0.04,0.06,341,31,81,0.1,0.1,30.0,30.2,42.0,High
Broker 545,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,261211040.2,261211040.2,0.0,0.0,100.0,100.0,261211040.2,261211040.2,0.0,261211040.2,0.05,0.04,0.06,342,31,83,0.1,0.1,30.0,30.2,41.1,High
Broker 620,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,260673065.9,260673065.9,0.0,0.0,100.0,100.0,260673065.9,260673065.9,0.0,260673065.9,0.05,0.04,0.06,343,31,84,0.1,0.1,30.0,30.2,40.8,High
Broker 594,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,260477826.7,260477826.7,0.0,0.0,100.0,100.0,260477826.7,260477826.7,0.0,260477826.7,0.05,0.04,0.06,344,31,86,0.1,0.1,30.0,30.2,40.7,High
Broker 525,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,260023135.6,260023135.6,0.0,0.0,100.0,100.0,260023135.6,260023135.6,0.0,260023135.6,0.05,0.04,0.06,345,31,87,0.1,0.1,30.0,30.2,40.5,High
Broker 299,Broker,Basic,Emerging Partner,Excellent,0,10,-10,10,259824412.01000002,0.0,-259824412.01000002,0.0,0.0,0.0,0.0,0.0,-25982441.2,25982441.2,0.05,-0.38,0.0,346,39,619,0.1,-0.8,30.0,29.3,-100.0,Medium
Broker 262,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,259814465.16000003,259814465.16000003,0.0,0.0,100.0,100.0,129907232.58,129907232.58,0.0,129907232.58,0.05,0.08,0.06,347,30,351,0.1,0.2,30.0,30.3,-29.8,Medium
Broker 294,Broker,Basic,Emerging Partner,Excellent,0,8,-8,8,258962048.35,0.0,-258962048.35,0.0,0.0,0.0,0.0,0.0,-32370256.04,32370256.04,0.05,-0.3,0.0,348,38,619,0.1,-0.6,30.0,29.5,-100.0,Medium
Broker 505,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,258157655.0,258157655.0,0.0,0.0,100.0,100.0,258157655.0,258157655.0,0.0,258157655.0,0.05,0.04,0.06,349,31,90,0.1,0.1,30.0,30.2,39.5,High
Broker 59,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,257472709.42000002,257472709.42000002,0.0,0.0,100.0,100.0,128736354.71,128736354.71,0.0,128736354.71,0.05,0.08,0.06,350,30,354,0.1,0.2,30.0,30.3,-30.4,Medium
Broker 568,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,256814218.8,256814218.8,0.0,0.0,100.0,100.0,256814218.8,256814218.8,0.0,256814218.8,0.05,0.04,0.06,351,31,92,0.1,0.1,30.0,30.2,38.8,High
Broker 628,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,255516989.1,255516989.1,0.0,0.0,100.0,100.0,255516989.1,255516989.1,0.0,255516989.1,0.05,0.04,0.06,352,31,93,0.1,0.1,30.0,30.2,38.1,High
Broker 560,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,255445381.4,255445381.4,0.0,0.0,100.0,100.0,127722690.7,127722690.7,0.0,127722690.7,0.05,0.08,0.06,353,30,355,0.1,0.2,30.0,30.3,-31.0,Medium
Broker 606,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,255058723.8,255058723.8,0.0,0.0,100.0,100.0,255058723.8,255058723.8,0.0,255058723.8,0.05,0.04,0.06,354,31,94,0.1,0.1,30.0,30.2,37.8,High
Broker 44,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,254824432.2,254824432.2,0.0,0.0,100.0,100.0,254824432.2,254824432.2,0.0,254824432.2,0.05,0.04,0.06,355,31,95,0.1,0.1,30.0,30.2,37.7,High
Broker 558,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,253059387.7,253059387.7,0.0,0.0,100.0,100.0,253059387.7,253059387.7,0.0,253059387.7,0.05,0.04,0.06,356,31,98,0.1,0.1,30.0,30.2,36.7,High
Broker 603,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,252122522.0,252122522.0,0.0,0.0,100.0,100.0,252122522.0,252122522.0,0.0,252122522.0,0.05,0.04,0.06,357,31,99,0.1,0.1,30.0,30.2,36.2,High
Broker 571,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,249292006.4,249292006.4,0.0,0.0,100.0,100.0,249292006.4,249292006.4,0.0,249292006.4,0.05,0.04,0.06,358,31,101,0.1,0.1,30.0,30.2,34.7,High
Broker 506,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,248938319.8,248938319.8,0.0,0.0,100.0,100.0,248938319.8,248938319.8,0.0,248938319.8,0.05,0.04,0.06,359,31,102,0.1,0.1,30.0,30.2,34.5,High
Broker 643,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,247521786.9,247521786.9,0.0,0.0,100.0,100.0,247521786.9,247521786.9,0.0,247521786.9,0.05,0.04,0.06,360,31,103,0.1,0.1,30.0,30.2,33.7,High
Broker 344,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,247285007.52999997,247285007.52999997,0.0,0.0,100.0,100.0,82428335.84,82428335.84,0.0,82428335.84,0.05,0.11,0.06,361,29,438,0.1,0.2,30.0,30.3,-55.5,Medium
Broker 529,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,247222710.7,247222710.7,0.0,0.0,100.0,100.0,247222710.7,247222710.7,0.0,247222710.7,0.05,0.04,0.06,362,31,104,0.1,0.1,30.0,30.2,33.6,High
Broker 50,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,246569490.95,246569490.95,0.0,0.0,100.0,100.0,82189830.32,82189830.32,0.0,82189830.32,0.05,0.11,0.06,363,29,440,0.1,0.2,30.0,30.3,-55.6,Medium
Broker 553,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,244262251.5,244262251.5,0.0,0.0,100.0,100.0,244262251.5,244262251.5,0.0,244262251.5,0.05,0.04,0.05,364,31,107,0.1,0.1,30.0,30.2,32.0,High
Broker 502,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,243342861.8,243342861.8,0.0,0.0,100.0,100.0,243342861.8,243342861.8,0.0,243342861.8,0.05,0.04,0.05,365,31,108,0.1,0.1,30.0,30.2,31.5,High
Broker 501,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,243300536.1,243300536.1,0.0,0.0,100.0,100.0,243300536.1,243300536.1,0.0,243300536.1,0.05,0.04,0.05,366,31,110,0.1,0.1,30.0,30.2,31.5,High
Broker 255,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,243131627.7,243131627.7,0.0,0.0,100.0,100.0,243131627.7,243131627.7,0.0,243131627.7,0.05,0.04,0.05,367,31,111,0.1,0.1,30.0,30.2,31.4,High
Broker 323,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,241906145.7,241906145.7,0.0,0.0,100.0,100.0,120953072.85,120953072.85,0.0,120953072.85,0.05,0.08,0.05,368,30,367,0.1,0.2,30.0,30.3,-34.6,Medium
Broker 627,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,237715877.5,237715877.5,0.0,0.0,100.0,100.0,237715877.5,237715877.5,0.0,237715877.5,0.05,0.04,0.05,369,31,119,0.1,0.1,30.0,30.2,28.4,High
Broker 629,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,237074053.4,237074053.4,0.0,0.0,100.0,100.0,237074053.4,237074053.4,0.0,237074053.4,0.05,0.04,0.05,370,31,120,0.1,0.1,30.0,30.2,28.1,High
Broker 75,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,233352687.74,233352687.74,0.0,0.0,100.0,100.0,116676343.87,116676343.87,0.0,116676343.87,0.05,0.08,0.05,371,30,374,0.1,0.2,30.0,30.3,-37.0,Medium
Broker 258,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,233327818.6,233327818.6,0.0,0.0,100.0,100.0,233327818.6,233327818.6,0.0,233327818.6,0.05,0.04,0.05,372,31,125,0.1,0.1,30.0,30.2,26.1,High
Broker 295,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,230495667.47,230495667.47,0.0,0.0,100.0,100.0,57623916.87,57623916.87,0.0,57623916.87,0.05,0.15,0.05,373,28,512,0.1,0.3,30.0,30.4,-68.9,Medium
Broker 672,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,228247124.8,228247124.8,0.0,0.0,100.0,100.0,228247124.8,228247124.8,0.0,228247124.8,0.05,0.04,0.05,374,31,138,0.1,0.1,30.0,30.2,23.3,High
Broker 590,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,227511709.0,227511709.0,0.0,0.0,100.0,100.0,227511709.0,227511709.0,0.0,227511709.0,0.05,0.04,0.05,375,31,140,0.1,0.1,30.0,30.2,22.9,High
Broker 570,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,227375033.6,227375033.6,0.0,0.0,100.0,100.0,227375033.6,227375033.6,0.0,227375033.6,0.05,0.04,0.05,376,31,141,0.1,0.1,30.0,30.2,22.8,High
Broker 407,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,226600779.9,226600779.9,0.0,0.0,100.0,100.0,226600779.9,226600779.9,0.0,226600779.9,0.05,0.04,0.05,377,31,143,0.1,0.1,30.0,30.2,22.4,High
Broker 513,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,225991305.2,225991305.2,0.0,0.0,100.0,100.0,225991305.2,225991305.2,0.0,225991305.2,0.05,0.04,0.05,378,31,144,0.1,0.1,30.0,30.2,22.1,High
Broker 635,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,225644433.7,225644433.7,0.0,0.0,100.0,100.0,225644433.7,225644433.7,0.0,225644433.7,0.05,0.04,0.05,379,31,145,0.1,0.1,30.0,30.2,21.9,High
Broker 488,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,221717278.4,221717278.4,0.0,0.0,100.0,100.0,221717278.4,221717278.4,0.0,221717278.4,0.05,0.04,0.05,380,31,149,0.1,0.1,30.0,30.2,19.8,High
Broker 266,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,217806966.58,217806966.58,0.0,0.0,100.0,100.0,108903483.29,108903483.29,0.0,108903483.29,0.04,0.08,0.05,381,30,385,0.1,0.2,30.0,30.3,-41.2,Medium
Broker 618,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,214596012.1,214596012.1,0.0,0.0,100.0,100.0,214596012.1,214596012.1,0.0,214596012.1,0.04,0.04,0.05,382,31,155,0.1,0.1,30.0,30.2,15.9,High
Broker 387,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,211967563.15,126470456.5,-85497106.65,100.0,50.0,50.0,0.0,126470456.5,-85497106.65,105983781.58,0.04,0.0,0.03,383,32,619,0.1,0.0,22.5,22.6,-100.0,Very Low
Broker 99,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,211024313.79,211024313.79,0.0,0.0,100.0,100.0,52756078.45,52756078.45,0.0,52756078.45,0.04,0.15,0.05,384,28,526,0.1,0.3,30.0,30.4,-71.5,Medium
Broker 138,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,210540333.89,210540333.89,0.0,0.0,100.0,100.0,105270166.94,105270166.94,0.0,105270166.94,0.04,0.08,0.05,385,30,393,0.1,0.2,30.0,30.3,-43.1,Medium
Broker 329,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,209457366.66,209457366.66,0.0,0.0,100.0,100.0,41891473.33,41891473.33,0.0,41891473.33,0.04,0.19,0.05,386,27,563,0.1,0.4,30.0,30.5,-77.4,Medium
Broker 209,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,207791212.89999998,207791212.89999998,0.0,0.0,100.0,100.0,69263737.63,69263737.63,0.0,69263737.63,0.04,0.11,0.05,387,29,471,0.1,0.2,30.0,30.3,-62.6,Medium
Broker 489,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,207673129.51999998,99705840.72,-107967288.8,100.0,50.0,50.0,0.0,99705840.72,-107967288.8,103836564.76,0.04,0.0,0.02,388,32,619,0.1,0.0,22.5,22.6,-100.0,Very Low
Broker 646,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,206835592.2,206835592.2,0.0,0.0,100.0,100.0,206835592.2,206835592.2,0.0,206835592.2,0.04,0.04,0.05,389,31,164,0.1,0.1,30.0,30.2,11.8,High
Broker 212,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,206633193.14999998,206633193.14999998,0.0,0.0,100.0,100.0,51658298.29,51658298.29,0.0,51658298.29,0.04,0.15,0.05,390,28,531,0.1,0.3,30.0,30.4,-72.1,Medium
Broker 446,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,206362942.7,206362942.7,0.0,0.0,100.0,100.0,206362942.7,206362942.7,0.0,206362942.7,0.04,0.04,0.05,391,31,167,0.1,0.1,30.0,30.2,11.5,High
Broker 261,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,205692954.2,205692954.2,0.0,0.0,100.0,100.0,205692954.2,205692954.2,0.0,205692954.2,0.04,0.04,0.05,392,31,171,0.1,0.1,30.0,30.2,11.1,High
Broker 544,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,205554939.21,205554939.21,0.0,0.0,100.0,100.0,102777469.61,102777469.61,0.0,102777469.61,0.04,0.08,0.05,393,30,403,0.1,0.2,30.0,30.3,-44.5,Medium
Broker 541,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,204225902.2,204225902.2,0.0,0.0,100.0,100.0,204225902.2,204225902.2,0.0,204225902.2,0.04,0.04,0.05,394,31,175,0.1,0.1,30.0,30.2,10.3,High
Broker 320,Broker,Basic,Emerging Partner,Excellent,0,1,-1,1,202699508.3,0.0,-202699508.3,0.0,0.0,0.0,0.0,0.0,-202699508.3,202699508.3,0.04,-0.04,0.0,395,33,619,0.1,-0.1,30.0,30.0,-100.0,Medium
Broker 229,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,202680827.2,202680827.2,0.0,0.0,100.0,100.0,202680827.2,202680827.2,0.0,202680827.2,0.04,0.04,0.05,396,31,177,0.1,0.1,30.0,30.2,9.5,High
Broker 673,Broker,Basic,Emerging Partner,Excellent,0,1,-1,1,200249905.2,0.0,-200249905.2,0.0,0.0,0.0,0.0,0.0,-200249905.2,200249905.2,0.04,-0.04,0.0,397,33,619,0.1,-0.1,30.0,30.0,-100.0,Medium
Broker 396,Broker,Basic,Emerging Partner,Excellent,0,1,-1,1,198425299.2,0.0,-198425299.2,0.0,0.0,0.0,0.0,0.0,-198425299.2,198425299.2,0.04,-0.04,0.0,398,33,619,0.1,-0.1,30.0,30.0,-100.0,Medium
Broker 389,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,196870655.71,196870655.71,0.0,0.0,100.0,100.0,98435327.86,98435327.86,0.0,98435327.86,0.04,0.08,0.04,399,30,410,0.1,0.2,30.0,30.3,-46.8,Medium
Broker 526,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,196836994.17000002,196836994.17000002,0.0,0.0,100.0,100.0,98418497.09,98418497.09,0.0,98418497.09,0.04,0.08,0.04,400,30,411,0.1,0.2,30.0,30.3,-46.8,Medium
Broker 225,Broker,Basic,Emerging Partner,Excellent,0,2,-2,2,196479338.07999998,0.0,-196479338.07999998,0.0,0.0,0.0,0.0,0.0,-98239669.04,98239669.04,0.04,-0.08,0.0,401,34,619,0.1,-0.2,30.0,29.9,-100.0,Medium
Broker 203,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,194987871.33,194987871.33,0.0,0.0,100.0,100.0,48746967.83,48746967.83,0.0,48746967.83,0.04,0.15,0.04,402,28,538,0.1,0.3,30.0,30.4,-73.7,Medium
Broker 645,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,193921521.4,193921521.4,0.0,0.0,100.0,100.0,193921521.4,193921521.4,0.0,193921521.4,0.04,0.04,0.04,403,31,194,0.1,0.1,30.0,30.2,4.8,High
Broker 460,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,192592878.0,192592878.0,0.0,0.0,100.0,100.0,192592878.0,192592878.0,0.0,192592878.0,0.04,0.04,0.04,404,31,198,0.1,0.1,30.0,30.2,4.1,High
Broker 360,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,192276376.4,192276376.4,0.0,0.0,100.0,100.0,192276376.4,192276376.4,0.0,192276376.4,0.04,0.04,0.04,405,31,199,0.1,0.1,30.0,30.2,3.9,High
Broker 434,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,192041198.0,192041198.0,0.0,0.0,100.0,100.0,192041198.0,192041198.0,0.0,192041198.0,0.04,0.04,0.04,406,31,200,0.1,0.1,30.0,30.2,3.8,High
Broker 539,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,190672542.1,190672542.1,0.0,0.0,100.0,100.0,190672542.1,190672542.1,0.0,190672542.1,0.04,0.04,0.04,407,31,203,0.1,0.1,30.0,30.2,3.0,High
Broker 556,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,190660490.6,190660490.6,0.0,0.0,100.0,100.0,190660490.6,190660490.6,0.0,190660490.6,0.04,0.04,0.04,408,31,204,0.1,0.1,30.0,30.2,3.0,High
Broker 660,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,190398122.2,190398122.2,0.0,0.0,100.0,100.0,95199061.1,95199061.1,0.0,95199061.1,0.04,0.08,0.04,409,30,415,0.1,0.2,30.0,30.3,-48.6,Medium
Broker 516,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,190245912.4,190245912.4,0.0,0.0,100.0,100.0,190245912.4,190245912.4,0.0,190245912.4,0.04,0.04,0.04,410,31,206,0.1,0.1,30.0,30.2,2.8,High
Broker 247,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,189692682.6,189692682.6,0.0,0.0,100.0,100.0,189692682.6,189692682.6,0.0,189692682.6,0.04,0.04,0.04,411,31,210,0.1,0.1,30.0,30.2,2.5,High
Broker 617,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,186714525.9,186714525.9,0.0,0.0,100.0,100.0,186714525.9,186714525.9,0.0,186714525.9,0.04,0.04,0.04,412,31,220,0.1,0.1,30.0,30.2,0.9,High
Broker 358,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,185981039.35,185981039.35,0.0,0.0,100.0,100.0,92990519.67,92990519.67,0.0,92990519.67,0.04,0.08,0.04,413,30,418,0.1,0.2,30.0,30.3,-49.8,Medium
Broker 565,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,185528809.7,185528809.7,0.0,0.0,100.0,100.0,185528809.7,185528809.7,0.0,185528809.7,0.04,0.04,0.04,414,31,224,0.1,0.1,30.0,30.2,0.2,High
Broker 639,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,184621287.4,184621287.4,0.0,0.0,100.0,100.0,184621287.4,184621287.4,0.0,184621287.4,0.04,0.04,0.04,415,31,227,0.1,0.1,30.0,30.2,-0.3,Medium
Broker 633,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,183893443.9,183893443.9,0.0,0.0,100.0,100.0,183893443.9,183893443.9,0.0,183893443.9,0.04,0.04,0.04,416,31,230,0.1,0.1,30.0,30.2,-0.6,Medium
Broker 448,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,183684133.6,183684133.6,0.0,0.0,100.0,100.0,183684133.6,183684133.6,0.0,183684133.6,0.04,0.04,0.04,417,31,231,0.1,0.1,30.0,30.2,-0.8,Medium
Broker 20,Broker,Basic,Emerging Partner,Excellent,0,1,-1,1,183626916.4,0.0,-183626916.4,0.0,0.0,0.0,0.0,0.0,-183626916.4,183626916.4,0.04,-0.04,0.0,418,33,619,0.1,-0.1,30.0,30.0,-100.0,Medium
Broker 538,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,183595500.2,183595500.2,0.0,0.0,100.0,100.0,183595500.2,183595500.2,0.0,183595500.2,0.04,0.04,0.04,419,31,232,0.1,0.1,30.0,30.2,-0.8,Medium
Broker 480,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,183321214.2,183321214.2,0.0,0.0,100.0,100.0,183321214.2,183321214.2,0.0,183321214.2,0.04,0.04,0.04,420,31,233,0.1,0.1,30.0,30.2,-1.0,Medium
Broker 650,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,182648993.99,182648993.99,0.0,0.0,100.0,100.0,91324497.0,91324497.0,0.0,91324497.0,0.04,0.08,0.04,421,30,422,0.1,0.2,30.0,30.3,-50.7,Medium
Broker 56,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,178733836.88,178733836.88,0.0,0.0,100.0,100.0,44683459.22,44683459.22,0.0,44683459.22,0.04,0.15,0.04,422,28,551,0.1,0.3,30.0,30.4,-75.9,Medium
